ID,SQ2,SQ3,Q1_3,Q1_4,Q1_5,Q2,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q4_1,Q4_2,Q4_3,Q4_4,Q5,Q6,Q6_1,Q6_2,Q7_1,Q7_1_1,Q7_1_2,Q7_2,Q8_1,Q8_2,Q8_3,Q8_4,Q9,Q10,Q10_1,Q11,Q12_1,Q12_2,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q13_13,Q13_14,Q13_15,Q13_16,Q13_17,Q13_18,Q13_19,Q13_20,Q14,Q14_1,Q14_2_1,Q14_2_2,Q14_2_3,Q15_1_1,Q15_1_2,Q15_1_3,Q15_1_4,Q15_1_5,Q15_1_6,Q15_1_7,Q15_2_1,Q15_2_2,Q15_2_3,Q15_2_4,Q15_2_5,Q15_2_6,Q15_2_7,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q17_1,Q17_2,Q17_3,Q17_4,Q18_1,Q18_2_1,Q18_2_2,Q18_3_1,Q18_3_2,Q18_3_3,Q18_3_4,Q19_1,Q19_2,Q19_2_1,Q19_3,Q20_1,Q20_2,Q20_2_1,Q20_3,Q21_1,Q21_2,Q22,Q23_1,Q23_2,Q24_1,Q24_2,Q25,Q25_1,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q26_8,Q26T,Q26_1_1,Q26_1_2,Q26_1_3,Q26_1_4,Q26_1_5,Q26_1_6,Q26_1_7,Q26_1_8,Q27_1_1,Q27_1_2,Q27_1_3,Q27_2_1,Q27_2_2,Q27_2_3,Q27_3_1,Q27_3_2,Q27_3_3,Q27_4_1,Q27_4_2,Q27_4_3,Q28_1,Q28_2,Q28_3,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q30,Q30_1,Q31,Q31_1,Q32,Q32_1,Q33,Q33_1,Q34,code2,WT2
11,2,1,2,3,4,3,4,,,,,,,,,,,,,,20,10,0,2,2,1,1,3,,,,,1,0,1,0,2,1,1,7,2,2,3,1,1,3,4,1,1,2,2,3,3,3,1,1,3,1,2,3,4,2,3,,1,1,5,1,3,2,1,1,1,1,3,5,5,3,3,3,3,5,5,5,4,5,4,2,4,4,3,3,3,4,5,2,3,3,2,5,5,4,5,1,100,0,0,100,0,0,1,2,,,2,,,,2,,1,5,4,,,9999998,6,4025,404,839,19,21,65,0,0,5373,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,1,,,,,,,,,,2,,2,,3,3,4,3,1,42,1.273550064
12,2,1,3,3,1,5,3,,,,,,,,,,,,,,40,10,15,0,2,1,1,1,,,,,1,0,1,0,1,1,1,6,1,1,2,3,2,1,3,3,1,3,3,2,2,2,2,1,1,1,1,2,1,2,3,,1,1,5,1,2,2,3,1,1,1,5,5,4,3,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,4,5,5,1,90,10,20,50,20,10,2,,,,1,2,,,1,4,1,5,5,,,40000,,1000,400,300,220,53,42,0,0,2015,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,1,0,0,0,0,5,3,6,1,6,,,,,,,,,2,,2,,4,4,4,2,1,41,0.687529472
13,2,1,4,2,4,1,2,4,5,,,,,,,,,,,,153,24,15,6,2,1,2,2,,,,,2,0,2,0,2,1,1,10,2,1,3,2,2,2,3,1,1,3,3,3,3,3,2,2,2,2,2,3,2,3,3,,1,1,5,1,3,3,4,1,1,1,5,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,4,4,4,5,4,4,4,5,4,1,90,10,10,80,0,10,1,2,,,1,2,,,1,3,1,4,5,,,73995,,15341,29805,6579,3682,1031,545,0,52,57035,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,0,0,0,4,3,5,6,,,,,,,,,,2,,1,5,4,4,4,4,1,41,0.654072814
14,2,1,3,3,6,4,8,,,,,,,,,,,,,,150,29,5,2,2,1,1,2,,,,,1,0,1,0,1,2,1,8,2,2,3,1,1,1,3,3,1,3,1,3,4,2,1,1,3,1,1,3,3,3,3,,1,1,5,1,3,1,3,2,1,1,4,5,5,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,1,80,20,30,30,30,10,1,2,,,1,2,,,1,4,1,4,4,,,49870,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,38,35,10,6,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,8,,,,,,,,,1,5,1,5,4,4,4,4,1,41,0.687529472
15,2,1,3,3,2,5,3,,,,,,,,,,,,,,30,20,15,0,2,1,1,3,,,,,1,0,1,0,1,2,1,5,2,2,2,3,2,1,3,2,1,2,2,2,3,2,1,1,2,2,1,2,2,2,3,,1,1,4,1,3,4,3,1,1,1,5,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,1,70,30,0,100,0,0,1,2,,,3,,,,1,4,1,5,4,,,9999998,7,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,18,20,18,10,5,10,10,9,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,1,8,,,,,,,,,2,,2,,3,3,3,3,1,41,0.687529472
16,3,1,5,1,1,6,,,,,,,,,2,,,,,,20,1,2,0,2,1,4,2,,,,,3,1,3,1,2,2,1,999,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,,1,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,1,100,0,0,100,0,0,1,2,,,1,2,,,1,4,1,5,5,,,191277,,4901,1026,1022,978,1871,762,0,0,10560,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,1,,,,,,,,,,2,,1,3,4,4,4,4,1,41,0.571942888
17,1,1,1,3,5,5,4,,,,,,,,,,,,,,50,15,0,5,2,1,1,2,,,,,0,0,0,0,2,1,3,5,2,2,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,5,,,,2,2,2,2,2,1,1,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,,,,,,,1,2,,,1,2,,,2,,2,,,5,5,1330,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,70,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,,1,,,,,,,,,,2,,2,,3,3,3,3,1,42,2.268002547
18,1,1,1,3,3,3,3,,,,,,,,,,,,,,115,80,50,0,2,1,1,3,,,,,1,0,1,0,2,1,1,3,2,2,3,3,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,2,,3,1,4,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,4,3,4,4,4,4,1,100,0,0,100,0,0,1,2,,,2,,,,2,,1,4,4,,,9999998,6,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,35,30,10,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,3,5,7,1,,,,,,,,,,2,,2,,3,3,3,3,2,42,2.268002547
19,4,9,5,4,5,1,4,8,,,,,,,,,,,,,220,36,54,13,2,1,4,2,,,,,3,1,3,1,1,2,1,60,2,2,1,2,1,1,2,2,1,3,2,3,3,3,1,1,1,2,1,3,3,3,3,,1,1,3,2,4,2,2,1,1,1,3,3,3,3,4,4,4,5,5,5,5,4,4,5,4,4,3,3,3,4,4,4,3,5,3,4,3,4,3,1,70,30,0,80,20,0,1,1,1,3,1,2,,,1,3,1,5,4,,,285468,,98621,56275,30257,7194,1821,8139,0,0,202307,999,999,999,999,999,999,999,999,0,2,0,0,0,0,1,0,0,0,0,0,4,5,6,1,2,9,,,,,,,,1,5,1,5,3,3,3,3,1,41,0.571942888
20,2,1,2,1,6,9,,,,,,,,,1,,,,,,11,2,0,1,2,1,1,3,,,,,1,0,1,0,2,1,1,1,1,1,3,5,3,5,5,3,3,4,1,4,4,4,1,4,4,4,4,4,4,1,3,,1,1,5,3,4,1,1,1,1,1,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,90,10,10,20,70,0,1,2,,,2,,,,1,1,1,5,5,,,19060,,41510,39,1632,0,139,4,135,0,43459,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,2,,,,,,,,,2,,1,4,4,4,4,4,1,42,1.273550064
21,2,9,2,2,1,11,,,,,,,,,,,,,,,12,1,0,0,2,1,1,2,,,,,1,0,1,0,2,2,1,4,2,2,3,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,3,3,2,1,5,,,,2,3,3,2,1,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,,,,,,,2,,,,2,,,,2,,1,3,3,,,43086,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,5503,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,3,8,,,,,,,,,2,,2,,4,3,3,3,1,42,1.273550064
22,4,9,5,2,1,6,,,,,,,,,1,,,,,,25,10,0,0,2,1,4,2,,,,,3,1,3,1,2,1,1,999,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,2,2,2,3,,1,1,5,2,1,1,2,1,1,1,5,4,4,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,5,5,5,5,4,4,3,3,3,1,80,20,10,80,10,0,1,1,5,3,1,2,,,1,4,1,5,4,,,203760,,29306,4410,3069,1400,1209,1067,0,0,40461,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,2,8,1,,,,,,,,,,2,,1,4,4,4,4,3,3,42,0.607515266
23,1,9,1,2,3,4,3,,,,,,,,,,,,,,50,10,0,0,2,1,2,2,,,,,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,,1,1,4,3,3,4,3,2,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,4,4,5,4,4,4,4,3,4,4,5,4,1,100,0,0,80,20,0,2,,,,2,,,,2,,1,5,5,,,9999998,6,3724,3669,3794,0,49,143,0,0,11379,999,999,999,999,999,999,999,999,0,0,0,0,0,0,1,0,0,0,0,0,4,3,6,1,2,5,6,,,,,,,1,4,1,4,3,3,3,3,1,41,1.274212377
24,2,9,2,3,2,3,1,,,,,,,,,,,,,,20,5,3,0,2,1,2,2,,,,,1,0,2,0,2,2,1,5,2,2,2,2,2,3,5,2,1,2,2,3,5,2,1,1,3,2,1,3,3,4,3,,1,1,5,1,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,100,0,0,50,40,10,1,2,,,1,2,,,2,,1,5,5,,,31936,,4060,2520,665,0,0,2,1150,0,8397,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,1,2,7,,,,,,,,2,,1,5,4,4,4,4,1,41,0.880355226
25,2,9,3,3,2,3,3,,,,,,,,,,,,,,100,20,20,2,1,1,1,2,,,,,1,0,1,0,1,2,3,15,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,1,3,,1,1,5,2,2,2,2,1,1,1,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,4,4,5,1,100,0,0,80,20,0,1,2,,,1,2,,,1,3,1,5,5,,,78000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,78000,999,999,999,999,999,999,999,999,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,4,7,,,,,,,,,2,,2,,4,4,4,1,1,41,0.687529472
26,1,9,1,3,2,3,1,3,,,,,,,,,,,,,15,8,6,0,2,2,,,1,2,2,,0,0,0,0,1,3,,999,2,2,4,1,1,1,1,3,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,,2,2,3,2,3,3,3,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,3,4,5,3,1,3,3,3,4,4,5,4,1,100,0,0,100,0,0,2,,,,2,,,,2,,1,5,5,,,9999998,5,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,7,52,20,5,4,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,1,2,4,7,9,,,,,,1,4,1,3,3,2,2,,1,42,2.268002547
27,4,9,5,2,6,1,4,,,,,,,,,,,,,,430,80,120,50,2,1,6,2,,,,,5,1,5,1,1,1,1,27,1,1,3,3,3,3,4,2,1,2,2,3,3,3,1,3,3,4,1,3,3,4,3,,1,1,4,1,2,3,2,1,1,1,1,3,3,3,5,5,5,4,5,5,4,5,4,4,5,5,5,5,5,5,3,4,5,4,3,3,2,4,2,1,100,0,0,80,20,0,1,1,1,2,1,1,20,2,1,2,1,5,5,,,360000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,45,36,10,2,2,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,1,10,1,2,4,,,,,,,,1,2,1,2,3,3,3,1,1,41,0.571942888
28,1,9,1,3,6,3,4,8,,,,,,,,,,,,,14,6,5,0,2,2,,,1,2,1,,1,1,1,0,1,1,1,3,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,,2,1,5,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,90,10,0,0,0,100,2,,,,2,,,,2,,1,5,3,,,12000,,2400,2600,980,1000,0,0,400,380,7760,999,999,999,999,999,999,999,999,0,0,1,0,0,0,0,0,0,0,0,0,3,5,9,4,,,,,,,,,,1,4,1,4,3,3,3,3,3,41,1.274212377
29,1,9,1,3,2,1,3,,,,,,,,,,,,,,20,18,0,1,2,2,,,1,1,1,,1,1,0,0,1,3,,999,2,2,4,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,,,,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,5,5,5,3,4,4,5,3,3,3,3,2,3,3,3,5,4,4,4,1,100,0,0,0,100,0,2,,,,2,,,,3,,1,4,4,,,300,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,10,50,10,0,5,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,1,2,,,,,,,,,1,3,1,3,3,4,3,1,3,41,1.274212377
30,2,9,3,2,2,6,,,,,,,,,3,,,,,,20,15,0,0,1,1,1,2,,,,,1,0,1,0,2,1,2,4,2,1,3,2,2,1,3,3,3,2,2,3,2,2,1,1,2,2,1,2,2,2,3,,1,1,5,2,3,2,2,2,1,1,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,1,100,0,0,100,0,0,2,,,,2,,,,2,,1,4,4,,,55000,,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,28,46,7,7,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,3,9,4,,,,,,,,,,2,,1,5,3,3,3,3,1,41,0.687529472
31,2,9,3,4,3,3,3,4,5,,,,,,,,,,,,121,43,6,1,2,1,2,3,,,,,2,0,2,0,2,2,1,7,1,2,3,2,2,3,4,2,2,3,3,4,3,3,2,2,3,3,2,3,2,3,3,,3,1,4,2,3,3,2,2,2,2,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,1,100,0,0,100,0,0,2,,,,1,2,,,1,3,1,5,5,,,50187,,5675,1049,329,796,171,194,0,0,8214,999,999,999,999,999,999,999,999,0,0,0,0,0,0,3,0,0,0,0,0,5,6,8,2,8,,,,,,,,,2,,2,,3,3,3,3,1,41,0.687529472
32,2,9,3,3,2,3,1,,,,,,,,,,,,,,12,9,0,0,2,2,,,1,1,2,,1,0,1,0,2,3,,2,2,2,3,1,3,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1,2,2,3,,1,1,5,2,3,3,2,1,1,1,3,3,3,3,2,2,2,4,5,5,5,5,4,5,5,4,4,4,4,5,4,4,4,4,4,5,4,4,4,2,,,,,,,1,2,,,1,2,,,1,2,1,5,5,,,9999998,6,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,50,10,20,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,10,,,,,,,,,,2,,1,4,3,3,3,3,1,41,0.687529472
33,3,9,4,3,3,1,2,3,4,5,6,,,,,,,,,,260,100,60,10,2,1,4,2,,,,,3,1,3,1,2,2,1,12,2,2,3,1,1,1,3,1,1,2,2,2,2,3,1,1,2,2,1,3,2,3,3,,1,1,5,1,3,3,1,1,1,1,3,3,4,4,5,5,5,4,4,4,4,3,4,3,5,3,3,3,4,4,4,3,3,5,3,3,3,4,3,1,70,30,30,70,0,0,1,2,,,1,2,,,1,3,1,4,4,,,9999998,8,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,9999999,35,40,12,3,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,8,1,4,,,,,,,,,1,3,1,3,3,3,4,3,1,41,0.654072814
34,3,9,5,3,1,5,1,2,,,,,,,,,,,,,50,30,30,0,2,1,3,2,,,,,2,1,2,1,2,1,1,8,2,2,4,4,3,4,5,2,1,3,1,3,3,3,3,3,2,3,3,4,3,4,3,,1,1,5,2,3,3,2,1,1,1,3,3,3,3,2,1,1,5,5,5,4,4,4,4,4,5,5,4,5,4,3,4,4,4,4,3,3,4,4,1,50,50,5,5,80,10,1,2,,,1,2,,,1,3,1,4,4,,,166800,,9800,9400,2700,695,1500,775,380,0,25250,999,999,999,999,999,999,999,999,0,0,0,0,0,0,1,0,0,0,0,0,5,4,2,1,2,4,5,9,,,,,,2,,1,5,3,4,3,3,3,41,0.571942888
